City,State,Place
Dothan city,Alabama,"Dothan city, Alabama"
Double Springs town,Alabama,"Double Springs town, Alabama"
Douglas town,Alabama,"Douglas town, Alabama"
Dozier town,Alabama,"Dozier town, Alabama"
Dunnavant CDP,Alabama,"Dunnavant CDP, Alabama"
Dutton town,Alabama,"Dutton town, Alabama"
Eagle Point CDP,Alabama,"Eagle Point CDP, Alabama"
East Brewton city,Alabama,"East Brewton city, Alabama"
East Point CDP,Alabama,"East Point CDP, Alabama"
Eclectic town,Alabama,"Eclectic town, Alabama"
Edgewater CDP,Alabama,"Edgewater CDP, Alabama"
Edwardsville town,Alabama,"Edwardsville town, Alabama"
Egypt CDP,Alabama,"Egypt CDP, Alabama"
Elba city,Alabama,"Elba city, Alabama"
Elberta town,Alabama,"Elberta town, Alabama"
Eldridge town,Alabama,"Eldridge town, Alabama"
Elkmont town,Alabama,"Elkmont town, Alabama"
Elmore town,Alabama,"Elmore town, Alabama"
Emelle town,Alabama,"Emelle town, Alabama"
Emerald Mountain CDP,Alabama,"Emerald Mountain CDP, Alabama"
Enterprise city,Alabama,"Enterprise city, Alabama"
Epes town,Alabama,"Epes town, Alabama"
Equality CDP,Alabama,"Equality CDP, Alabama"
Ethelsville town,Alabama,"Ethelsville town, Alabama"
Eufaula city,Alabama,"Eufaula city, Alabama"
Eunola CDP,Alabama,"Eunola CDP, Alabama"
Eutaw town,Alabama,"Eutaw town, Alabama"
Eva town,Alabama,"Eva town, Alabama"
Evergreen city,Alabama,"Evergreen city, Alabama"
Excel town,Alabama,"Excel town, Alabama"
Fairfield city,Alabama,"Fairfield city, Alabama"
Fairford CDP,Alabama,"Fairford CDP, Alabama"
Fairhope city,Alabama,"Fairhope city, Alabama"
Fairview town,Alabama,"Fairview town, Alabama"
Falkville town,Alabama,"Falkville town, Alabama"
Faunsdale town,Alabama,"Faunsdale town, Alabama"
Fayette city,Alabama,"Fayette city, Alabama"
Fayetteville CDP,Alabama,"Fayetteville CDP, Alabama"
Fitzpatrick CDP,Alabama,"Fitzpatrick CDP, Alabama"
Five Points town,Alabama,"Five Points town, Alabama"
Flomaton town,Alabama,"Flomaton town, Alabama"
Florala town,Alabama,"Florala town, Alabama"
Florence city,Alabama,"Florence city, Alabama"
Foley city,Alabama,"Foley city, Alabama"
Forestdale CDP,Alabama,"Forestdale CDP, Alabama"
Forkland town,Alabama,"Forkland town, Alabama"
Fort Deposit town,Alabama,"Fort Deposit town, Alabama"
Fort Payne city,Alabama,"Fort Payne city, Alabama"
Fort Rucker CDP,Alabama,"Fort Rucker CDP, Alabama"
Franklin town,Alabama,"Franklin town, Alabama"
Fredonia CDP,Alabama,"Fredonia CDP, Alabama"
Frisco City town,Alabama,"Frisco City town, Alabama"
Fruitdale CDP,Alabama,"Fruitdale CDP, Alabama"
Fruithurst town,Alabama,"Fruithurst town, Alabama"
Fulton town,Alabama,"Fulton town, Alabama"
Fultondale city,Alabama,"Fultondale city, Alabama"
Fyffe town,Alabama,"Fyffe town, Alabama"
Gadsden city,Alabama,"Gadsden city, Alabama"
Gainesville town,Alabama,"Gainesville town, Alabama"
Gallant CDP,Alabama,"Gallant CDP, Alabama"
Gantt town,Alabama,"Gantt town, Alabama"
Garden City town,Alabama,"Garden City town, Alabama"
Gardendale city,Alabama,"Gardendale city, Alabama"
Gaylesville town,Alabama,"Gaylesville town, Alabama"
Geiger town,Alabama,"Geiger town, Alabama"
Geneva city,Alabama,"Geneva city, Alabama"
Georgiana town,Alabama,"Georgiana town, Alabama"
Geraldine town,Alabama,"Geraldine town, Alabama"
Gilbertown town,Alabama,"Gilbertown town, Alabama"
Glen Allen town,Alabama,"Glen Allen town, Alabama"
Glencoe city,Alabama,"Glencoe city, Alabama"
Glenwood town,Alabama,"Glenwood town, Alabama"
Goldville town,Alabama,"Goldville town, Alabama"
Good Hope city,Alabama,"Good Hope city, Alabama"
Goodwater town,Alabama,"Goodwater town, Alabama"
Gordo town,Alabama,"Gordo town, Alabama"
Gordon town,Alabama,"Gordon town, Alabama"
Gordonville town,Alabama,"Gordonville town, Alabama"
Goshen town,Alabama,"Goshen town, Alabama"
Graham CDP,Alabama,"Graham CDP, Alabama"
Grand Bay CDP,Alabama,"Grand Bay CDP, Alabama"
Grant town,Alabama,"Grant town, Alabama"
Grayson Valley CDP,Alabama,"Grayson Valley CDP, Alabama"
Graysville city,Alabama,"Graysville city, Alabama"
Greensboro city,Alabama,"Greensboro city, Alabama"
Greenville city,Alabama,"Greenville city, Alabama"
Grimes town,Alabama,"Grimes town, Alabama"
Grove Hill town,Alabama,"Grove Hill town, Alabama"
Guin city,Alabama,"Guin city, Alabama"
Gulfcrest CDP,Alabama,"Gulfcrest CDP, Alabama"
Gulf Shores city,Alabama,"Gulf Shores city, Alabama"
Guntersville city,Alabama,"Guntersville city, Alabama"
Gurley town,Alabama,"Gurley town, Alabama"
Gu-Win town,Alabama,"Gu-Win town, Alabama"
Hackleburg town,Alabama,"Hackleburg town, Alabama"
Hackneyville CDP,Alabama,"Hackneyville CDP, Alabama"
Haleburg town,Alabama,"Haleburg town, Alabama"
Haleyville city,Alabama,"Haleyville city, Alabama"
Hamilton city,Alabama,"Hamilton city, Alabama"
Hammondville town,Alabama,"Hammondville town, Alabama"
Hanceville city,Alabama,"Hanceville city, Alabama"
Hanover CDP,Alabama,"Hanover CDP, Alabama"
Harpersville town,Alabama,"Harpersville town, Alabama"
Hartford city,Alabama,"Hartford city, Alabama"
Hartselle city,Alabama,"Hartselle city, Alabama"
Harvest CDP,Alabama,"Harvest CDP, Alabama"
Hatton CDP,Alabama,"Hatton CDP, Alabama"
Hayden town,Alabama,"Hayden town, Alabama"
Hayneville town,Alabama,"Hayneville town, Alabama"
Hazel Green CDP,Alabama,"Hazel Green CDP, Alabama"
Headland city,Alabama,"Headland city, Alabama"
Heath town,Alabama,"Heath town, Alabama"
Heflin city,Alabama,"Heflin city, Alabama"
Helena city,Alabama,"Helena city, Alabama"
Henagar city,Alabama,"Henagar city, Alabama"
Highland Lake town,Alabama,"Highland Lake town, Alabama"
Highland Lakes CDP,Alabama,"Highland Lakes CDP, Alabama"
Hillsboro town,Alabama,"Hillsboro town, Alabama"
Hissop CDP,Alabama,"Hissop CDP, Alabama"
Hobson CDP,Alabama,"Hobson CDP, Alabama"
Hobson City town,Alabama,"Hobson City town, Alabama"
Hodges town,Alabama,"Hodges town, Alabama"
Hokes Bluff city,Alabama,"Hokes Bluff city, Alabama"
Hollins CDP,Alabama,"Hollins CDP, Alabama"
Hollis Crossroads CDP,Alabama,"Hollis Crossroads CDP, Alabama"
Holly Pond town,Alabama,"Holly Pond town, Alabama"
Hollywood town,Alabama,"Hollywood town, Alabama"
Holt CDP,Alabama,"Holt CDP, Alabama"
Holtville CDP,Alabama,"Holtville CDP, Alabama"
Homewood city,Alabama,"Homewood city, Alabama"
Hoover city,Alabama,"Hoover city, Alabama"
Horn Hill town,Alabama,"Horn Hill town, Alabama"
Hueytown city,Alabama,"Hueytown city, Alabama"
Huguley CDP,Alabama,"Huguley CDP, Alabama"
Huntsville city,Alabama,"Huntsville city, Alabama"
Hurtsboro town,Alabama,"Hurtsboro town, Alabama"
Hytop town,Alabama,"Hytop town, Alabama"
Ider town,Alabama,"Ider town, Alabama"
Indian Springs Village city,Alabama,"Indian Springs Village city, Alabama"
Irondale city,Alabama,"Irondale city, Alabama"
Ivalee CDP,Alabama,"Ivalee CDP, Alabama"
Jackson city,Alabama,"Jackson city, Alabama"
Jacksons' Gap town,Alabama,"Jacksons' Gap town, Alabama"
Jacksonville city,Alabama,"Jacksonville city, Alabama"
Jasper city,Alabama,"Jasper city, Alabama"
Jemison city,Alabama,"Jemison city, Alabama"
Joppa CDP,Alabama,"Joppa CDP, Alabama"
Kansas town,Alabama,"Kansas town, Alabama"
Kellyton town,Alabama,"Kellyton town, Alabama"
Kennedy town,Alabama,"Kennedy town, Alabama"
Killen town,Alabama,"Killen town, Alabama"
Kimberly city,Alabama,"Kimberly city, Alabama"
Kinsey town,Alabama,"Kinsey town, Alabama"
Kinston town,Alabama,"Kinston town, Alabama"
Ladonia CDP,Alabama,"Ladonia CDP, Alabama"
La Fayette city,Alabama,"La Fayette city, Alabama"
Lakeview town,Alabama,"Lakeview town, Alabama"
Lake View town,Alabama,"Lake View town, Alabama"
Lanett city,Alabama,"Lanett city, Alabama"
Langston town,Alabama,"Langston town, Alabama"
Leeds city,Alabama,"Leeds city, Alabama"
Leesburg town,Alabama,"Leesburg town, Alabama"
Leighton town,Alabama,"Leighton town, Alabama"
Leroy CDP,Alabama,"Leroy CDP, Alabama"
Lester town,Alabama,"Lester town, Alabama"
Level Plains town,Alabama,"Level Plains town, Alabama"
Lexington town,Alabama,"Lexington town, Alabama"
Libertyville town,Alabama,"Libertyville town, Alabama"
Lillian CDP,Alabama,"Lillian CDP, Alabama"
Lincoln city,Alabama,"Lincoln city, Alabama"
Linden city,Alabama,"Linden city, Alabama"
Lineville city,Alabama,"Lineville city, Alabama"
Lipscomb city,Alabama,"Lipscomb city, Alabama"
Lisman town,Alabama,"Lisman town, Alabama"
Littleville town,Alabama,"Littleville town, Alabama"
Livingston city,Alabama,"Livingston city, Alabama"
Loachapoka town,Alabama,"Loachapoka town, Alabama"
Lockhart town,Alabama,"Lockhart town, Alabama"
Locust Fork town,Alabama,"Locust Fork town, Alabama"
Lookout Mountain CDP,Alabama,"Lookout Mountain CDP, Alabama"
Louisville town,Alabama,"Louisville town, Alabama"
Lowndesboro town,Alabama,"Lowndesboro town, Alabama"
Loxley town,Alabama,"Loxley town, Alabama"
Luverne city,Alabama,"Luverne city, Alabama"
Lynn town,Alabama,"Lynn town, Alabama"
McCalla CDP,Alabama,"McCalla CDP, Alabama"
McDonald Chapel CDP,Alabama,"McDonald Chapel CDP, Alabama"
Macedonia CDP,Alabama,"Macedonia CDP, Alabama"
McIntosh town,Alabama,"McIntosh town, Alabama"
McKenzie town,Alabama,"McKenzie town, Alabama"
McMullen town,Alabama,"McMullen town, Alabama"
Madison city,Alabama,"Madison city, Alabama"
Madrid town,Alabama,"Madrid town, Alabama"
Magnolia Springs town,Alabama,"Magnolia Springs town, Alabama"
Malcolm CDP,Alabama,"Malcolm CDP, Alabama"
Malvern town,Alabama,"Malvern town, Alabama"
Maplesville town,Alabama,"Maplesville town, Alabama"
Marbury CDP,Alabama,"Marbury CDP, Alabama"
Margaret town,Alabama,"Margaret town, Alabama"
Marion city,Alabama,"Marion city, Alabama"
Maytown town,Alabama,"Maytown town, Alabama"
Meadowbrook CDP,Alabama,"Meadowbrook CDP, Alabama"
Megargel CDP,Alabama,"Megargel CDP, Alabama"
Memphis town,Alabama,"Memphis town, Alabama"
Mentone town,Alabama,"Mentone town, Alabama"
Meridianville CDP,Alabama,"Meridianville CDP, Alabama"
Midfield city,Alabama,"Midfield city, Alabama"
Midland City town,Alabama,"Midland City town, Alabama"
Midway town,Alabama,"Midway town, Alabama"
Mignon CDP,Alabama,"Mignon CDP, Alabama"
Millbrook city,Alabama,"Millbrook city, Alabama"
Millerville CDP,Alabama,"Millerville CDP, Alabama"
Millport town,Alabama,"Millport town, Alabama"
Millry town,Alabama,"Millry town, Alabama"
Minor CDP,Alabama,"Minor CDP, Alabama"
Mobile city,Alabama,"Mobile city, Alabama"
Monroeville city,Alabama,"Monroeville city, Alabama"
Montevallo city,Alabama,"Montevallo city, Alabama"
Montgomery city,Alabama,"Montgomery city, Alabama"
Moody city,Alabama,"Moody city, Alabama"
Moores Mill CDP,Alabama,"Moores Mill CDP, Alabama"
Mooresville town,Alabama,"Mooresville town, Alabama"
Morris town,Alabama,"Morris town, Alabama"
Morrison Crossroads CDP,Alabama,"Morrison Crossroads CDP, Alabama"
Mosses town,Alabama,"Mosses town, Alabama"
Moulton city,Alabama,"Moulton city, Alabama"
Moundville town,Alabama,"Moundville town, Alabama"
Mountain Brook city,Alabama,"Mountain Brook city, Alabama"
Mount Olive CDP (Coosa County),Alabama,"Mount Olive CDP (Coosa County), Alabama"
Mount Olive CDP (Jefferson County),Alabama,"Mount Olive CDP (Jefferson County), Alabama"
Mount Vernon town,Alabama,"Mount Vernon town, Alabama"
Movico CDP,Alabama,"Movico CDP, Alabama"
Mulga town,Alabama,"Mulga town, Alabama"
Munford town,Alabama,"Munford town, Alabama"
Muscle Shoals city,Alabama,"Muscle Shoals city, Alabama"
Myrtlewood town,Alabama,"Myrtlewood town, Alabama"
Nanafalia CDP,Alabama,"Nanafalia CDP, Alabama"
Nances Creek CDP,Alabama,"Nances Creek CDP, Alabama"
Napier Field town,Alabama,"Napier Field town, Alabama"
Natural Bridge town,Alabama,"Natural Bridge town, Alabama"
Nauvoo town,Alabama,"Nauvoo town, Alabama"
Nectar town,Alabama,"Nectar town, Alabama"
Needham town,Alabama,"Needham town, Alabama"
Newbern town,Alabama,"Newbern town, Alabama"
New Brockton town,Alabama,"New Brockton town, Alabama"
New Hope city,Alabama,"New Hope city, Alabama"
New Market CDP,Alabama,"New Market CDP, Alabama"
New Site town,Alabama,"New Site town, Alabama"
Newton town,Alabama,"Newton town, Alabama"
New Union CDP,Alabama,"New Union CDP, Alabama"
Newville town,Alabama,"Newville town, Alabama"
Nixburg CDP,Alabama,"Nixburg CDP, Alabama"
North Courtland town,Alabama,"North Courtland town, Alabama"
North Johns town,Alabama,"North Johns town, Alabama"
Northport city,Alabama,"Northport city, Alabama"
Notasulga town,Alabama,"Notasulga town, Alabama"
Oak Grove town,Alabama,"Oak Grove town, Alabama"
Oak Hill town,Alabama,"Oak Hill town, Alabama"
Oakman town,Alabama,"Oakman town, Alabama"
Odenville city,Alabama,"Odenville city, Alabama"
Ohatchee town,Alabama,"Ohatchee town, Alabama"
Oneonta city,Alabama,"Oneonta city, Alabama"
Onycha town,Alabama,"Onycha town, Alabama"
Opelika city,Alabama,"Opelika city, Alabama"
Opp city,Alabama,"Opp city, Alabama"
Orange Beach city,Alabama,"Orange Beach city, Alabama"
Orrville town,Alabama,"Orrville town, Alabama"
Our Town CDP,Alabama,"Our Town CDP, Alabama"
Owens Cross Roads town,Alabama,"Owens Cross Roads town, Alabama"
Oxford city,Alabama,"Oxford city, Alabama"
Ozark city,Alabama,"Ozark city, Alabama"
Paint Rock town,Alabama,"Paint Rock town, Alabama"
Panola CDP,Alabama,"Panola CDP, Alabama"
Parrish town,Alabama,"Parrish town, Alabama"
Pea Ridge CDP,Alabama,"Pea Ridge CDP, Alabama"
Pelham city,Alabama,"Pelham city, Alabama"
Pell City city,Alabama,"Pell City city, Alabama"
Pennington town,Alabama,"Pennington town, Alabama"
Penton CDP,Alabama,"Penton CDP, Alabama"
Perdido CDP,Alabama,"Perdido CDP, Alabama"
Perdido Beach town,Alabama,"Perdido Beach town, Alabama"
Peterman CDP,Alabama,"Peterman CDP, Alabama"
Petrey town,Alabama,"Petrey town, Alabama"
Phenix City city,Alabama,"Phenix City city, Alabama"
Phil Campbell town,Alabama,"Phil Campbell town, Alabama"
Pickensville town,Alabama,"Pickensville town, Alabama"
Piedmont city,Alabama,"Piedmont city, Alabama"
Pike Road town,Alabama,"Pike Road town, Alabama"
Pinckard town,Alabama,"Pinckard town, Alabama"
Pine Apple town,Alabama,"Pine Apple town, Alabama"
Pine Hill town,Alabama,"Pine Hill town, Alabama"
Pine Level CDP,Alabama,"Pine Level CDP, Alabama"
Pine Ridge town,Alabama,"Pine Ridge town, Alabama"
Pinson city,Alabama,"Pinson city, Alabama"
Pisgah town,Alabama,"Pisgah town, Alabama"
Pleasant Grove city,Alabama,"Pleasant Grove city, Alabama"
Pleasant Groves town,Alabama,"Pleasant Groves town, Alabama"
Point Clear CDP,Alabama,"Point Clear CDP, Alabama"
Pollard town,Alabama,"Pollard town, Alabama"
Powell town,Alabama,"Powell town, Alabama"
Prattville city,Alabama,"Prattville city, Alabama"
Priceville town,Alabama,"Priceville town, Alabama"
Prichard city,Alabama,"Prichard city, Alabama"
Providence town,Alabama,"Providence town, Alabama"
Putnam CDP,Alabama,"Putnam CDP, Alabama"
Ragland town,Alabama,"Ragland town, Alabama"
Rainbow City city,Alabama,"Rainbow City city, Alabama"
Rainsville city,Alabama,"Rainsville city, Alabama"
Ranburne town,Alabama,"Ranburne town, Alabama"
Ray CDP,Alabama,"Ray CDP, Alabama"
Red Bay city,Alabama,"Red Bay city, Alabama"
Redland CDP,Alabama,"Redland CDP, Alabama"
Red Level town,Alabama,"Red Level town, Alabama"
Redstone Arsenal CDP,Alabama,"Redstone Arsenal CDP, Alabama"
Reece City town,Alabama,"Reece City town, Alabama"
Reeltown CDP,Alabama,"Reeltown CDP, Alabama"
Reform town,Alabama,"Reform town, Alabama"
Rehobeth town,Alabama,"Rehobeth town, Alabama"
Remlap CDP,Alabama,"Remlap CDP, Alabama"
Repton town,Alabama,"Repton town, Alabama"
Ridgeville town,Alabama,"Ridgeville town, Alabama"
River Falls town,Alabama,"River Falls town, Alabama"
Riverside city,Alabama,"Riverside city, Alabama"
Riverview town,Alabama,"Riverview town, Alabama"
Roanoke city,Alabama,"Roanoke city, Alabama"
Robertsdale city,Alabama,"Robertsdale city, Alabama"
Rock Creek CDP,Alabama,"Rock Creek CDP, Alabama"
Rockford town,Alabama,"Rockford town, Alabama"
Rock Mills CDP,Alabama,"Rock Mills CDP, Alabama"
Rockville CDP,Alabama,"Rockville CDP, Alabama"
Rogersville town,Alabama,"Rogersville town, Alabama"
Rosa town,Alabama,"Rosa town, Alabama"
Russellville city,Alabama,"Russellville city, Alabama"
Rutledge town,Alabama,"Rutledge town, Alabama"
St. Florian town,Alabama,"St. Florian town, Alabama"
St. Stephens CDP,Alabama,"St. Stephens CDP, Alabama"
Saks CDP,Alabama,"Saks CDP, Alabama"
Samson city,Alabama,"Samson city, Alabama"
Sand Rock town,Alabama,"Sand Rock town, Alabama"
Sanford town,Alabama,"Sanford town, Alabama"
Saraland city,Alabama,"Saraland city, Alabama"
Sardis City town,Alabama,"Sardis City town, Alabama"
Satsuma city,Alabama,"Satsuma city, Alabama"
Scottsboro city,Alabama,"Scottsboro city, Alabama"
Section town,Alabama,"Section town, Alabama"
Selma city,Alabama,"Selma city, Alabama"
Selmont-West Selmont CDP,Alabama,"Selmont-West Selmont CDP, Alabama"
Semmes city,Alabama,"Semmes city, Alabama"
Sheffield city,Alabama,"Sheffield city, Alabama"
Shelby CDP,Alabama,"Shelby CDP, Alabama"
Shiloh town,Alabama,"Shiloh town, Alabama"
Shoal Creek CDP,Alabama,"Shoal Creek CDP, Alabama"
Shorter town,Alabama,"Shorter town, Alabama"
Silas town,Alabama,"Silas town, Alabama"
Silverhill town,Alabama,"Silverhill town, Alabama"
Sims Chapel CDP,Alabama,"Sims Chapel CDP, Alabama"
Sipsey town,Alabama,"Sipsey town, Alabama"
Skyline town,Alabama,"Skyline town, Alabama"
Slocomb city,Alabama,"Slocomb city, Alabama"
Smiths Station city,Alabama,"Smiths Station city, Alabama"
Smoke Rise CDP,Alabama,"Smoke Rise CDP, Alabama"
Snead town,Alabama,"Snead town, Alabama"
Somerville town,Alabama,"Somerville town, Alabama"
Southside city,Alabama,"Southside city, Alabama"
South Vinemont town,Alabama,"South Vinemont town, Alabama"
Spanish Fort city,Alabama,"Spanish Fort city, Alabama"
Spring Garden CDP,Alabama,"Spring Garden CDP, Alabama"
Springville city,Alabama,"Springville city, Alabama"
Spruce Pine CDP,Alabama,"Spruce Pine CDP, Alabama"
Standing Rock CDP,Alabama,"Standing Rock CDP, Alabama"
Stapleton CDP,Alabama,"Stapleton CDP, Alabama"
Steele town,Alabama,"Steele town, Alabama"
Sterrett CDP,Alabama,"Sterrett CDP, Alabama"
Stevenson city,Alabama,"Stevenson city, Alabama"
Stewartville CDP,Alabama,"Stewartville CDP, Alabama"
Stockton CDP,Alabama,"Stockton CDP, Alabama"
Sulligent city,Alabama,"Sulligent city, Alabama"
Sumiton city,Alabama,"Sumiton city, Alabama"
Summerdale town,Alabama,"Summerdale town, Alabama"
Susan Moore town,Alabama,"Susan Moore town, Alabama"
Sweet Water town,Alabama,"Sweet Water town, Alabama"
Sylacauga city,Alabama,"Sylacauga city, Alabama"
Sylvania town,Alabama,"Sylvania town, Alabama"
Sylvan Springs town,Alabama,"Sylvan Springs town, Alabama"
Talladega city,Alabama,"Talladega city, Alabama"
Talladega Springs town,Alabama,"Talladega Springs town, Alabama"
Tallassee city,Alabama,"Tallassee city, Alabama"
Tarrant city,Alabama,"Tarrant city, Alabama"
